***BUSMASTER Ver 2.6.2***
***PROTOCOL CAN***
***NOTE: PLEASE DO NOT EDIT THIS DOCUMENT***
***[START LOGGING SESSION]***
***START DATE AND TIME 31:10:2019 11:48:35:580***
***HEX***
***SYSTEM MODE***
***START CHANNEL BAUD RATE***
***CHANNEL 1 - PCAN-USB Device ID - FFh - 500000 bps***
***END CHANNEL BAUD RATE***
***START DATABASE FILES (DBF/DBC)***
***END OF DATABASE FILES (DBF/DBC)***
***<Time><Tx/Rx><Channel><CAN ID><Type><DLC><DataBytes>***
11:48:49:1225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:1228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:1327 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:1728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:1731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:1826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:2225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:2228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:2328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:2727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:2730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:2733 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:49:2825 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:3226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:3229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:3328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:3616 Rx 1 0x1CECFF3D x 8 20 1A 00 04 FF CA FE 00 
11:48:49:3727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:3730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:3826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:4116 Rx 1 0x1CEBFF3D x 8 01 00 FF 98 0D 00 01 9D 
11:48:49:4225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:4228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:4327 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:4616 Rx 1 0x1CEBFF3D x 8 02 0D 00 01 AD 0C 00 01 
11:48:49:4727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:4730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:4733 Rx 1 0x14FD3E3D x 8 FF FE FF 20 22 FF FF FF 
11:48:49:4736 Rx 1 0x18FEF63D x 8 DE FE FE FE FF 20 22 FF 
11:48:49:4826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:5116 Rx 1 0x1CEBFF3D x 8 03 BB 0D 00 01 A0 0D 00 
11:48:49:5225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:5228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:5231 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:49:5328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
